Country,Jurisdiction type,Included in primary analysis,Vector group,Vector taxa,Vector status,Classification basis,Evidence category,Vector source IDs,Assessment cutoff,Source-linkage scope,Evidence notes
Angola,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Anguilla,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Anguilla,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Antarctica,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Antarctica,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Antigua and Barbuda,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Antigua and Barbuda,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Argentina,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Argentina,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Armenia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Armenia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Limited / uncertain,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Aruba,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Aruba,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Australia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Australia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Present,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Austria,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Austria,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Azerbaijan,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Azerbaijan,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Limited / uncertain,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Bahamas,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Bahamas,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Bahrain,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Bahrain,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Bangladesh,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Bangladesh,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Present,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Barbados,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Barbados,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Belarus,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Absent,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Belarus,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Belgium,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Belgium,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Belize,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Belize,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Benin,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Benin,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Bermuda,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Bermuda,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Bhutan,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Bhutan,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Present,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
"Bolivia, Plurinational State of",Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
"Bolivia, Plurinational State of",Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
"Bonaire, Sint Eustatius and Saba",Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
"Bonaire, Sint Eustatius and Saba",Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Bosnia and Herzegovina,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Bosnia and Herzegovina,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Botswana,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Botswana,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Bouvet Island,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Bouvet Island,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Brazil,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
