Country,Jurisdiction type,Virus,Vector status,Vector source IDs,Transmission category,Transmission basis,Transmission evidence category,Transmission source IDs,Vaccine-access category,Regulatory approval status,Market availability,Public programme status,Programme scope,Eligibility/restrictions,Coverage,Vaccine-access basis,Vaccine evidence category,Vaccine source IDs,Assessment cutoff,Evidence confidence,Source-linkage status,Evidence notes
Algeria,Sovereign state,YFV,Limited / sporadic,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S059; S099,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S096; S097; S099,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S059, S099 (no separate country-specific source identified). Vaccine-access sources: S096, S097, S099 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Algeria,Sovereign state,JEV,Absent,S051,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S019; S067,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S070; S098,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S019, S067 (no separate country-specific source identified). Vaccine-access sources: S070, S098 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Andorra,Sovereign state,DENV,Absent,S049; S050; S023; S024,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Andorra,Sovereign state,CHIKV,Absent,S049; S050; S023; S024,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Andorra,Sovereign state,YFV,Absent,S049; S050; S023; S024,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S059; S099,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S096; S097; S099,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S059, S099 (no separate country-specific source identified). Vaccine-access sources: S096, S097, S099 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Andorra,Sovereign state,JEV,Absent,S051,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S019; S067,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S070; S098,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S019, S067 (no separate country-specific source identified). Vaccine-access sources: S070, S098 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Angola,Sovereign state,DENV,Present,S049; S050,Sporadic outbreaks / introduced,"Assigned using predefined criteria for documented autochthonous transmission that was intermittent, geographically limited, or not established as sustained.",Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Angola,Sovereign state,CHIKV,Present,S049; S050,Sporadic outbreaks / introduced,"Assigned using predefined criteria for documented autochthonous transmission that was intermittent, geographically limited, or not established as sustained.",Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Angola,Sovereign state,YFV,Present,S049; S050,Endemic / established transmission,Assigned using predefined criteria for recurrent or sustained local transmission and the hierarchical evidence framework described in the Supplementary Methods.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S059; S099,Routine (public program),Authorisation implied by programme use; regulator verification required,Available through public programme,Routine public programme reported,National and subnational programme scope could not be distinguished from the reviewed sources.,Not documented in the reviewed source set.,Not assessed,"Classified on the basis of documented national or subnational programme introduction, with programme scope and eligibility recorded separately where available.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S096; S097; S099,2026-05-06,Moderate,Framework-linked; programme-scope source not directly linked,"Transmission sources: S059, S099 (no separate country-specific source identified). Vaccine-access sources: S096, S097, S099 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Angola,Sovereign state,JEV,Absent,S051,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S019; S067,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S070; S098,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S019, S067 (no separate country-specific source identified). Vaccine-access sources: S070, S098 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Antigua and Barbuda,Sovereign state,DENV,Present,S049; S050,Endemic / established transmission,Assigned using predefined criteria for recurrent or sustained local transmission and the hierarchical evidence framework described in the Supplementary Methods.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Antigua and Barbuda,Sovereign state,CHIKV,Present,S049; S050,Sporadic outbreaks / introduced,"Assigned using predefined criteria for documented autochthonous transmission that was intermittent, geographically limited, or not established as sustained.",Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Antigua and Barbuda,Sovereign state,YFV,Present,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S059; S099,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S096; S097; S099,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S059, S099 (no separate country-specific source identified). Vaccine-access sources: S096, S097, S099 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Antigua and Barbuda,Sovereign state,JEV,Absent,S051,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S019; S067,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S070; S098,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S019, S067 (no separate country-specific source identified). Vaccine-access sources: S070, S098 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Argentina,Sovereign state,DENV,Present,S049; S050,Endemic / established transmission,Assigned using predefined criteria for recurrent or sustained local transmission and the hierarchical evidence framework described in the Supplementary Methods.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Licensed & available (private/market),Regulatory approval is recorded in the analytical classification; direct country-specific regulator documentation was not identified in the reviewed source set.,Commercial/private availability reported,No routine public programme identified,Private/market,Not documented in the reviewed source set.,Not assessed,"Classified on the basis of documented regulatory authorisation; market availability, programme introduction, eligibility, and coverage were evaluated separately.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085; S057,2026-05-06,High,Direct row-level linkage complete,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085, S057 (country-specific support S057). Full citations and URLs are provided in Source_Inventory."
Argentina,Sovereign state,CHIKV,Present,S049; S050,Sporadic outbreaks / introduced,"Assigned using predefined criteria for documented autochthonous transmission that was intermittent, geographically limited, or not established as sustained.",Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Argentina,Sovereign state,YFV,Present,S049; S050,Endemic / established transmission,Assigned using predefined criteria for recurrent or sustained local transmission and the hierarchical evidence framework described in the Supplementary Methods.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S059; S099,Routine (public program),Authorisation implied by programme use; regulator verification required,Available through public programme,Routine public programme reported,National and subnational programme scope could not be distinguished from the reviewed sources.,Not documented in the reviewed source set.,Not assessed,"Classified on the basis of documented national or subnational programme introduction, with programme scope and eligibility recorded separately where available.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S096; S097; S099,2026-05-06,Moderate,Framework-linked; programme-scope source not directly linked,"Transmission sources: S059, S099 (no separate country-specific source identified). Vaccine-access sources: S096, S097, S099 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Argentina,Sovereign state,JEV,Absent,S051,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S019; S067,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S070; S098,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S019, S067 (no separate country-specific source identified). Vaccine-access sources: S070, S098 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Armenia,Sovereign state,DENV,Limited / sporadic,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Armenia,Sovereign state,CHIKV,Limited / sporadic,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
