ID,Source title,Evidence type,Role in dataset,URL,Accessed
S013,CDC dengue areas with risk,Curated source; Surveillance,Primary country risk backbone for DENV circulation | DENV circulation backbone,https://www.cdc.gov/dengue/areas-with-risk/index.html,2026-05-06
S014,CDC current year dengue data,Curated source,United States: Current local/imported/territorial context,https://www.cdc.gov/dengue/data-research/facts-stats/current-data.html,2026-03-19
S015,CDC dengue overview,Curated source,U.S. continental DENV context,https://www.cdc.gov/dengue/index.html,2026-03-19
S016,CDC dengue vaccine guidance for HCPs,Curated source; Regulatory / public health,Restricted U.S. DENV vaccine access context | U.S. Dengvaxia approval/recommendation context,https://www.cdc.gov/dengue/hcp/vaccine/index.html,2026-05-06
S017,CDC dengue vaccine overview,Curated source; Regulatory / public health,Restricted U.S. DENV vaccine access context | U.S. Dengvaxia availability and restricted use context,https://www.cdc.gov/dengue/vaccine/index.html,2026-05-06
S018,CDC HAN 00523: locally acquired dengue cases in the United States,Curated source,U.S. DENV autochthonous transmission context,https://www.cdc.gov/han/php/notices/han00523.html,2026-03-19
S019,CDC Japanese encephalitis data/maps,Curated source; Global surveillance,Primary JEV endemicity/risk map | JEV country risk context,https://www.cdc.gov/japanese-encephalitis/data-maps/index.html,2026-05-06
S020,CDC potential range of Aedes,Curated source; Vector distribution,Vector classification support | U.S. Aedes potential range context,https://www.cdc.gov/mosquitoes/php/toolkit/potential-range-of-aedes.html,2026-05-06
S021,CDC Yellow Book: dengue,Curated source,General DENV travel and epidemiology context,https://www.cdc.gov/yellow-book/hcp/travel-associated-infections-diseases/dengue.html,2026-03-19
S022,CDC Yellow Book: Japanese encephalitis,Curated source,JEV travel-risk and vaccine context,https://www.cdc.gov/yellow-book/hcp/travel-associated-infections-diseases/japanese-encephalitis.html,2026-03-19
S023,ECDC Aedes aegypti map,Curated source; Vector distribution,"Vector classification support | Current known Aedes aegypti distribution, Europe",https://www.ecdc.europa.eu/en/publications-data/aedes-aegypti-current-known-distribution-june-2025,2026-05-06
S024,ECDC Aedes albopictus map,Curated source; Vector distribution,"Vector classification support | Current known Aedes albopictus distribution, Europe",https://www.ecdc.europa.eu/en/publications-data/aedes-albopictus-current-known-distribution-june-2025,2026-05-06
S025,ECDC chikungunya monthly,Curated source; Regional surveillance,Monthly countries/territories reporting CHIKV | CHIKV recency and Europe/global updates,https://www.ecdc.europa.eu/en/chikungunya-monthly,2026-05-06
S026,ECDC chikungunya seasonal surveillance,Curated source,European CHIKV local-transmission context,https://www.ecdc.europa.eu/en/chikungunya-virus-disease/surveillance-and-updates/seasonal-surveillance,2026-03-19
S027,ECDC dengue monthly,Curated source; Regional surveillance,Monthly countries/territories reporting dengue | DENV recency and Europe/global update,https://www.ecdc.europa.eu/en/dengue-monthly,2026-05-06
S028,ECDC rapid risk assessment: chikungunya case in Spain without travel history,Curated source,Spain CHIKV autochthonous transmission context,https://www.ecdc.europa.eu/en/publications-data/rapid-risk-assessment-chikungunya-case-spain-without-travel-history-endemic-areas,2026-03-19
S029,Historical local transmission in EU/EEA,Curated source,Autochthonous chikungunya evidence in Europe,https://www.ecdc.europa.eu/en/infectious-disease-topics/chikungunya-virus-disease/surveillance-and-updates/local-transmission-previous-years,2026-03-19
S030,Historical local transmission in EU/EEA,Curated source,Autochthonous dengue evidence in Europe,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea-previous-years,2026-03-19
S031,EMA EPAR: Ixchiq,Curated source; Regulatory,EU CHIKV vaccine authorisation | EU chikungunya vaccine authorisation,https://www.ema.europa.eu/en/medicines/human/EPAR/ixchiq,2026-05-06
S032,EMA EPAR: Qdenga,Curated source; Regulatory,EU DENV vaccine authorisation | EU Qdenga marketing authorisation,https://www.ema.europa.eu/en/medicines/human/EPAR/qdenga,2026-05-06
S033,Centre for Health Protection statistics,Curated source,Hong Kong: Imported vs local dengue split,https://www.chp.gov.hk/en/statistics/data/10/26/43/7121.html,2026-03-19
S034,Hong Kong CHP media update on chikungunya,Curated source,Hong Kong CHIKV local transmission context,https://www.chp.gov.hk/en/media/116/109845.html,2026-03-19
S035,"Hong Kong Communicable Diseases Watch, vol 22 no 2",Curated source,Hong Kong DENV local transmission context,https://www.chp.gov.hk/files/pdf/cdw_v22_2.pdf,2026-03-19
S036,ISS / EpiCentro arbovirus bulletins,Curated source,Italy: Recent local transmission adjudication,https://www.epicentro.iss.it/arbovirosi/bollettini,2026-03-19
S037,ISS / EpiCentro dengue updates,Curated source,Italy: Recent dengue autochthonous import/local split,https://www.epicentro.iss.it/febbre-dengue/aggiornamenti,2026-03-19
S038,ISS/EpiCentro chikungunya updates,Curated source,Italy CHIKV local transmission context,https://www.epicentro.iss.it/chikungunya/aggiornamenti,2026-03-19
S039,ISS/EpiCentro dengue updates 2025,Curated source,Italy DENV local transmission context,https://www.epicentro.iss.it/febbre-dengue/2025,2026-03-19
S040,Japan MHLW 2014 notice (domestic dengue cases),Curated source,Japan DENV autochthonous transmission context,https://www.mhlw.go.jp/english/new-info/2014.html,2026-03-19
S041,NIID IASR note on chikungunya/dengue in Japan,Curated source,Japan CHIKV imported-only context,https://idsc.niid.go.jp/iasr/32/376/tpc376.html,2026-03-19
S042,PAHO chikungunya analysis by country,Curated source,Americas country-level supporting evidence,https://www.paho.org/en/arbo-portal/chikungunya-data-and-analysis/chikungunya-analysis-country,2026-03-19
S043,PAHO chikungunya portal,Curated source; Regional surveillance,Americas surveillance anchor | Americas CHIKV surveillance,https://www.paho.org/en/arbo-portal/chikungunya-data-and-analysis,2026-05-06
S044,PAHO dengue analysis by country,Curated source,Americas country-level supporting evidence,https://www.paho.org/en/arbo-portal/dengue-data-and-analysis/dengue-analysis-country,2026-03-19
S045,PAHO dengue portal,Curated source; Regional surveillance,Americas weekly surveillance anchor | Americas DENV surveillance,https://www.paho.org/en/arbo-portal/dengue-data-and-analysis,2026-05-06
S046,PAHO epidemiological alert (10 Feb 2026),Curated source,Recency check for increasing circulation/resumption,https://www.paho.org/en/documents/epidemiological-alert-chikungunya-10-february-2026,2026-03-19
S047,PAHO yellow fever epidemiological alert,Curated source,Americas recent risk context,https://www.paho.org/sites/default/files/2025-03/2025-mar-26-phe-epi-alert-yellow-fever-final_0.pdf,2026-03-19
S048,PAHO yellow fever epidemiological update,Curated source,Americas recent cases; explicitly cites country/IHR NFP inputs,https://www.paho.org/sites/default/files/2025-05/2025-april-24-phe-epiupdate-yellow-fever-final.pdf,2026-03-19
S049,Kraemer et al. eLife 2015,Curated source; Peer-reviewed vector distribution,Vector classification support | Global Aedes aegypti/albopictus distribution,https://elifesciences.org/articles/08347,2026-05-06
S050,Laporta et al. 2023: Global distribution of Aedes aegypti and Aedes albopictus under climate-change scenarios,Curated source; Peer-reviewed vector modelling,Vector classification support | Global current and projected Aedes aegypti/albopictus suitability,https://pubmed.ncbi.nlm.nih.gov/36661976/,2026-03-19
S051,Tong et al. Culex tritaeniorhynchus modelling,Curated source; Peer-reviewed vector modelling,Vector classification support | JEV vector suitability support,https://pmc.ncbi.nlm.nih.gov/articles/PMC10048298/,2026-05-06
S052,Santé publique France strengthened surveillance bulletin,Curated source,France: Recent autochthonous transmission adjudication,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-a-transmission-vectorielle/chikungunya/documents/bulletin-national/chikungunya-dengue-zika-et-west-nile-en-france-hexagonale.-bulletin-de-la-surveillance-renforcee-du-5-novembre-2025,2026-03-19
S053,"Santé publique France strengthened surveillance data (metropolitan France, 2025)",Curated source,France DENV/CHIKV local transmission context,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-a-transmission-vectorielle/chikungunya/articles/donnees-en-france-metropolitaine/chikungunya-dengue-et-zika-donnees-de-la-surveillance-renforcee-en-france-hexagonale-2025,2026-03-19
S054,Singapore HSA approves Dengvaxia,Curated source; Regulatory,Singapore DENV vaccine approval | Singapore Dengvaxia approval,https://www.hsa.gov.sg/announcements/news/hsa-approves-dengvaxia-vaccine,2026-05-06
S055,Singapore MOH Dengvaxia available,Curated source; Regulatory / national policy,Singapore DENV vaccine availability | Singapore Dengvaxia availability,https://www.moh.gov.sg/newsroom/dengvaxia-vaccine-available-in-singapore/,2026-05-06
S056,Takeda announcement: Qdenga approved in Indonesia,Curated source,Indonesia DENV vaccine approval context,https://www.takeda.com/newsroom/newsreleases/2022/takedas-qdenga-dengue-tetravalent-vaccine-live-attenuated-approved-in-indonesia-for-use-regardless-of-prior-dengue-exposure/,2026-03-19
S057,Takeda collaboration to accelerate access to dengue vaccine,Curated source,DENV vaccine market availability context (Argentina/Thailand and broader access),https://www.takeda.com/newsroom/newsreleases/2024/collaboration-to-accelerate-access-to-dengue-vaccine/,2026-03-19
S058,UK Vaccine Update issue 368 (Jan 2026),Curated source,UK DENV vaccine availability context,https://www.gov.uk/government/publications/vaccine-update-issue-368-january-2026-maternity-special/vaccine-update-issue-368-january-2026-maternity-special,2026-03-19
S059,WHO yellow fever risk countries PDF,Curated source; Global surveillance,Primary YFV endemic-risk backbone | YFV risk country backbone,https://cdn.who.int/media/docs/default-source/travel-and-health/countries-with-risk-of-yellow-fever-transmission.pdf?download=true&sfvrsn=bf42ac59_4,2026-05-06
S060,WHO dengue global situation DON,Curated source; Global surveillance,"Global outbreak context, Europe autochthonous evidence | Global DENV outbreak context",https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON518,2026-05-06
S061,"WHO dengue vaccine position paper, May 2024",Curated source; Vaccine policy,Global benchmark for access/licensure context | DENV vaccine recommendations and policy context,https://www.who.int/publications/i/item/who-wer-9918-203-224,2026-05-06
S062,WHO prequalifies Qdenga,Curated source; Vaccine prequalification,Global procurement/availability reference | Global procurement eligibility context for Qdenga,https://www.who.int/news/item/15-05-2024-who-prequalifies-new-dengue-vaccine,2026-05-06
S063,WHO Disease Outbreak News / IHR page,Curated source,Public WHO/IHR-aligned event publication and framework,https://www.who.int/emergencies/disease-outbreak-news,2026-03-19
S064,WHO chikungunya DON 2025,Curated source; Global surveillance,Global event context | CHIKV global outbreak context,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON581,2026-05-06
S065,WHO Europe update: dengue and West Nile virus,Curated source,European DENV local-transmission context,https://www.who.int/europe/news-room/events/item/2025/07/17/default-calendar/dengue-and-west-nile-virus--updates-from-the-who-european-region,2026-03-19
S066,WHO European Region health security bulletin Q3 2025,Curated source,European DENV local-transmission context,https://cdn.who.int/media/docs/librariesprovider2/euro-health-topics/emergencies-whe/health-security-bulletin--who-european-region---q3-%282%29.pdf?download=true&sfvrsn=153c59d2_5,2026-03-19
S067,WHO Japanese encephalitis fact sheet,Curated source; Global surveillance,Global endemic-country count and framing | JEV risk/ecology context,https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis,2026-05-06
S068,WHO GACVS dengue vaccines page,Curated source,Brazil/public-program and global DENV vaccine safety context,https://www.who.int/groups/global-advisory-committee-on-vaccine-safety/topics/dengue-vaccines,2026-03-19
S069,WHO IHR topic page,Curated source,Documents that DONs are tied to IHR processes/framework,https://www.who.int/health-topics/international-health-regulations,2026-03-19
S070,WHO position paper,Curated source,Vaccine policy/access context,https://www.who.int/publications-detail-redirect/japanese-encephalitis-vaccines-who-position-paper,2026-03-19
S071,WHO dengue vaccine Q&A,Curated source; Vaccine policy,DENV vaccine policy context and current product framing | DENV vaccine current global product framing,https://www.who.int/news-room/questions-and-answers/item/dengue-vaccines,2026-05-06
S072,WHO rapid risk assessment,Curated source,Global recency and risk framing,https://www.who.int/publications/m/item/who-rapid-risk-assessment---chikungunya-virus--global-v.1,2026-03-19
S073,Reuters: WHO prequalifies Qdenga,Regulatory/news synthesis,Qdenga approval countries and WHO prequalification context,https://www.reuters.com/business/healthcare-pharmaceuticals/who-prequalifies-new-dengue-vaccine-2024-05-15/,2026-05-06
S074,Malaysia NPRA Qdenga FAQ,Regulatory,Malaysia conditional registration of Qdenga,https://www.npra.gov.my/media/attachments/2024/05/21/dengue-vaccine-qdenga---frequently-asked-questions.pdf,2026-05-06
S075,Malaysia CodeBlue dengue vaccination update,National / professional reporting,Malaysia private-sector availability and NIP status context,https://codeblue.galencentre.org/2025/11/dengue-vaccination-in-malaysia-progress-challenges-and-the-latest-booster-data-dr-rakhee-yadav/,2026-05-06
S076,Swissmedic Qdenga public summary,Regulatory,Switzerland Qdenga authorisation,https://www.swissmedic.ch/swissmedic/en/home/about-us/publications/public-summary-swiss-par/public-summary-swiss-par-qdenga.html,2026-05-06
S077,Swissmedic Qdenga approval notice,Regulatory,Switzerland Qdenga authorisation context,https://www.swissmedic.ch/swissmedic/en/home/news/mitteilungen/smc-laesst-impfstoff-gegen-dengue-fieber-zu.html,2026-05-06
S078,UK Qdenga travel-health guidance,Regulatory / travel-health,UK Qdenga availability and recommendations,https://travelhealthpro.org.uk/news/763/qdenga-dengue-vaccine-guidance,2026-05-06
S079,FDA Dengvaxia product page,Regulatory,U.S. Dengvaxia approval context,https://www.fda.gov/vaccines-blood-biologics/dengvaxia,2026-05-06
S080,Philippines FDA advisory on unauthorized dengue vaccines,Regulatory,Philippines no registered dengue vaccine context,https://www.fda.gov.ph/fda-advisory-no-2025-1644-public-health-warning-against-the-sale-offer-for-sale-and-purchase-of-unauthorized-and-counterfeit-dengue-vaccines/,2026-05-06
S081,Sanofi Dengvaxia information,Manufacturer / regulatory context,Historical Dengvaxia approvals and availability context,https://www.sanofi.com/en/our-company/sustainability/responsible-business-values/information-on-dengvaxia,2026-05-06
S082,Reuters: Takeda and Biological E dengue vaccine production,Regulatory / manufacturing news,India/Qdenga pre-approval context and manufacturing scale-up,https://www.reuters.com/business/healthcare-pharmaceuticals/japans-takeda-partners-with-indias-biological-e-boost-dengue-vaccine-production-2024-02-27/,2026-05-06
S083,"CDSCO SEC vaccine meeting minutes, 19 Mar 2026",Regulatory,India Qdenga new drug import permission recommendation,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadCommitteeFiles/MOM%20SEC%20%28Vaccine%29%20for%2019.03.2026.pdf,2026-05-06
S084,Australia TGA Qdenga decision summary,Regulatory,"Australia Qdenga registration, April 2026",https://www.tga.gov.au/resources/auspmd/qdenga-dengue-tetravalent-vaccine-live-attenuated-dengue-virus-serotypes-1-2-3-and-4,2026-05-06
S085,Virology 2026 dengue vaccine access review,Peer-reviewed / policy review,Cross-country dengue vaccine licensure support,https://www.sciencedirect.com/science/article/pii/S004268222600036X,2026-05-06
S086,EMA EPAR: Vimkunya,Regulatory,EU chikungunya vaccine authorisation,https://www.ema.europa.eu/en/medicines/human/EPAR/vimkunya,2026-05-06
S087,FDA Vimkunya product page,Regulatory,U.S. Vimkunya approval,https://www.fda.gov/vaccines-blood-biologics/vimkunya,2026-05-06
S088,FDA Ixchiq safety/regulatory update,Regulatory safety update,U.S. Ixchiq restrictions/suspension context,https://www.fda.gov/safety/medical-product-safety-information/fda-update-safety-ixchiq-chikungunya-vaccine-live-fda-suspends-biologics-license-fda-safety,2026-05-06
S089,Bavarian Nordic UK Vimkunya authorisation news,Regulatory / manufacturer,UK Vimkunya MHRA approval context,https://www.bavarian-nordic.com/investor/news/news.aspx?news=7132,2026-05-06
S090,UK MHRA safety update on Ixchiq,Regulatory safety update,UK Ixchiq market and restrictions context,https://www.gov.uk/drug-safety-update/ixchiq-chikungunya-vaccine-updates-to-restrictions-of-use-following-safety-review,2026-05-06
S091,Bavarian Nordic Swissmedic Vimkunya approval news,Regulatory / manufacturer,Switzerland Vimkunya approval context,https://www.bavarian-nordic.com/investor/news/news.aspx?news=7492,2026-05-06
S092,Canada Immunization Guide: chikungunya vaccine,Regulatory / public health,Canada chikungunya vaccine guidance and licensed use context,https://www.canada.ca/en/public-health/services/publications/healthy-living/canadian-immunization-guide-part-4-active-vaccines/chikungunya-vaccine.html,2026-05-06
S093,Canada CATMAT recommendations for chikungunya vaccine,Regulatory / public health,Canada chikungunya vaccine recommendations,https://www.canada.ca/en/public-health/services/catmat/recommendations-use-chikungunya-vaccine.html,2026-05-06
S094,Valneva Brazil Ixchiq approval news,Regulatory / manufacturer,Brazil ANVISA Ixchiq approval,https://valneva.com/press-release/valneva-receives-first-marketing-authorization-for-ixchiq-in-a-chikungunya-endemic-country/,2026-05-06
S095,EClinicalMedicine Brazil CHIKV vaccine policy modelling,Peer-reviewed,Brazil Ixchiq licensure / endemic-country vaccine context,https://www.sciencedirect.com/science/article/pii/S2589537025006248,2026-05-06
S096,Vaccines and vaccination against yellow fever: WHO Position Paper – June 2013,WHO vaccine policy,Global yellow fever vaccine policy and programme framework,https://www.who.int/publications/i/item/who-wer8827,2026-07-28
S097,WHO Yellow Fever Vaccines,WHO immunization guidance,"Yellow fever vaccination strategies, programme use, and access framework",https://www.who.int/teams/immunization-vaccines-and-biologicals/diseases/yellow-fever,2026-07-28
S098,WHO Japanese Encephalitis immunization guidance,WHO immunization guidance,Japanese encephalitis vaccine schedules and programme-integration framework,https://www.who.int/teams/immunization-vaccines-and-biologicals/diseases/japanese-encephalitis,2026-07-28
S099,WHO countries with risk of yellow fever transmission and vaccination requirements,WHO country-level travel and risk guidance,Country-level yellow fever transmission risk and vaccination requirement framework,https://www.who.int/publications/m/item/countries-with-risk-of-yellow-fever-transmission-and-countries-requiring-yellow-fever-vaccination-%28november-2022%29,2026-07-28
